Semiconductors,gap
Cu0.5Ag1.5Zn0.5Cd0.5Ge1S3Te1_kesterite,0.99
Cu1.5Ag0.5Ca0.5Zn0.5Ge1S1Se2Te1_kesterite,0.89
Cu1.5Ag0.5Ca0.5Zn0.5Ge1S1Se2Te1_stannite,0.8
Cu1.5Ag0.5Mg0.5Ca0.5Sn0.5Ge0.5S1Se2Te1_kesterite,0.75
Cu1.5Ag0.5Sr0.5Ba0.5Sn0.5Ge0.5Se3Te1_stannite,1.17
Cu1.5Ag0.5Sr0.5Zn0.5Ge1S1Se1Te2_kesterite,0.59
Cu1.5Ag0.5Sr0.5Zn0.5Ge1S1Se1Te2_stannite,0.64
Cu1Al0.5Ga0.5S2_kesterite,2.41
Cu1Al0.5Ga0.5S2_stannite,2.04
Cu1Al0.5In0.5S2_kesterite,1.81
Cu1Al0.5In0.5S2_stannite,1.84
Cu1Al0.5In0.5Se2_kesterite,1.25
Cu1Al0.5In0.5Se2_stannite,1.17
Cu1Al1S2_kesterite,3.08
Cu1Al1S2_stannite,2.78
Cu1Al1Se2_kesterite,2.28
Cu1Al1Se2_stannite,1.85
Cu1Al1Te2_kesterite,1.95
Cu1Al1Te2_stannite,1.37
Cu1Ga0.5In0.5Se2_kesterite,0.95
Cu1Ga0.5In0.5Se2_stannite,0.73
Cu1Ga1S1Se1_kesterite,1.8
Cu1Ga1S1Se1_stannite,1.27
Cu1Ga1S1Te1_stannite,0.32
Cu1Ga1S2_kesterite,2.26
Cu1Ga1S2_stannite,1.81
Cu1Ga1Se2_kesterite,1.37
Cu1Ga1Se2_stannite,0.91
Cu1Ga1Te2_kesterite,1.08
Cu1Ga1Te2_stannite,0.43
Cu1In1S1Se1_kesterite,1.03
Cu1In1S1Se1_stannite,0.72
Cu1In1S2_kesterite,1.29
Cu1In1S2_stannite,1.2
Cu1In1Se2_kesterite,0.7
Cu1In1Se2_stannite,0.62
Cu1In1Te2_kesterite,0.74
Cu1In1Te2_stannite,0.58
Cu2Ba1Ge1S4_kesterite,1.43
Cu2Ba1Ge1S4_stannite,1.44
Cu2Ba1Ge1Se4_kesterite,0.8
Cu2Ba1Ge1Se4_stannite,0.82
Cu2Ba1Ge1Te4_kesterite,0.28
Cu2Ba1Ge1Te4_stannite,0.22
Cu2Ba1Sn0.25Zr0.75S2Se2_kesterite,1.44
Cu2Ba1Sn0.25Zr0.75S2Se2_stannite,1.25
Cu2Ba1Sn0.25Zr0.75S4_kesterite,1.77
